content,target_type
kalau bisa kasi tutorial nya dong memang bagus ini apl nya tetapi tidak bisa cara makenya,1
bro ini bagus loch,1
bagus,1
puas sangat sama hasil,1
bagus,1
bagus,1
aplikasi juara,1
keren,1
is the best untuk mula,1
sangat cocok untuk mula dan seru,1
bagus dan bantu sangat,1
coba dulu,1
baik,1
apknya bagus saya suka dan hasil juga bagus tidak ada kurang,1
keren,1
jos,1
sangat baguss terima kasih yang buat aplikasi,1
belum paham cara buat theme dengan app ini,1
moga makin keren,1
good this is because i can pakai work faster,1
bagus,1
keren sangat pliss bisa buat design bajuu design posterr dan lainlainn,1
sangat bagus,1
bagus bagus seru seru sangat sangat bantu sekali,1
sumpah bantu sekali saat lagi urgent bikin poster buat izin canva solusi baik,1
gatau lah jangan tanya saya,1
sangat bagus,1
sangat bagua,1
baguss,1
sangat bantu,1
smart people always have a good choose,1
mantap,1
baik,0
sangatembantu,1
mntappppp,1
good,1
sukaaa bgtt bisa bantu kita buat tugasss,1
apknya bagus sangat guna untuk edit foto video buat logo buat poster dan lain lain dan sudah sedia template jadi jangan khawatir untuk yang tidak bisa buat logo poster edit foto dan video karena template nya banyak bagettt dan juga bagus terima kasihhh canvaaa,1
bagus bngtt apakah nya,1
nice,1
bagus banyak stiker dan templatenya jadi enak deh tidak usah repot ngedit sendiri,1
sumpah ini app bantu sekali buat poster dakwah,1
tks canva,1
baik lagi,1
bagus,1
keren,1
keren sekali,1
pikir kreatif,1
bagus sekali,1
luarbiasaa,1
very good,1
mantap,1
lumayan bagus,1
mudah sekali untuk bikin materi,1
aplikasi bagus,1
sangat guna,1
disain mudah di paham,1
ok,1
saya sudah coba canva di leptop saya bagus sekali jadi saya donlod di hp,1
baru coba,1
bagus buat bikin tugas presentasi,1
puas bagus sangat,1
baik,1
good,1
cukup senang buat saya yang belum punya alam dalam desain gambar,1
p tolong ya fiturnya baik dengan benar edit pacar saya hilang semua jadi ngulang dari awal lagi iya kalau hanya ini bejibun kira tidak capai apa tanya bikin habis waktu saja,0
aplikasi baik,1
sangat bagus,1
baik,1
bagus tetapi agak ribet,1
canvany makin lama makin aneh masa unduh vidionyg sudah di edit tidak bisa bisa padahal saya sudah hapus semua apakah yang berat tetap tidak bisa sampai hari nunggu loading nya lama ngebug juga tidak jelas sumpah,1
sangat bagus tetapi harus lebih banyak pulih warna,1
ok ouyyyyz xg tidak f bu hi v i hjvh saya cuma bm nj,0
nugas bro jangan males,1
aplikasi nya baru di buka sudah buat saya kesal padahal jaring oke terus memori internal banyak tetapi tidak bisa di buka aplikasi selalu saja muncul tulis muat ulang,0
bagus,1
ok,1
tarik,1
i am very happy when trying and feeling how canva is developing nowadays especially in the ai aspect of itu if you could please improve the quality of the ai process for example on the image expansion feature which is still a little blurry when adding for multiple layers over and over again thank you,1
bagus cuma suka ngelag sedikit,1
terima kasih canva buat segala sesuatu jadi mudah,1
kini tak perlu sulit lagi kalau ingin buat walpaper stiker video kartu ucap dan bagai cukup canva saja di google play store,1
bagus,1
jossss,1
bagus sekali apakah nya saya suka,1
mntep,1
ngeriu,1
mantap,1
keren,1
tidak bisa login kntl,0
bagus,1
sudah lama menggunalan aplikasi canva tetapi minggu ini tidak bisa masuk mohon cerah min,1
bagus,1
veryy goodd bisa edit apa saja sini,1
moga manfaat terima kasih,1
oke,1
apakah lot,0
aplikasi canva sanggat bagus dan mudah saya untuk kerja tugas tugas saya,1
mantap,1
luar biasa jadi mudah edit foto vidio,1
bagus,1
terlalu lelet,0
saya izin saran supaya ada kembang untuk bisa warna font bisa gradiasi terima kasih kami desainer sangat bantu untuk hasil karya yang maksimal mengunakan canva,1
coba lebih baik,1
sangat bagus,1
tidak beguna,0
kerja bagus,1
dapat bantu,1
enak kerja kita bantu,1
keren,1
aplikasi sangat bantu sekali sukses terus canva,1
aplikasi yang sangat bantu selagi peraktis,1
bagus,0
mantap,1
bagus,1
bgis skli,1
keren,1
mantaaap,1
saya mau nambahin gambar tetapi tombol tidak muncul buang buang waktu tidak guna kamu pikir lucu gin tanya ngebug terus ni aplikasi di optimisasi lagi untuk perangkat android jangan bikin emosi nih,0
bagus sekali gila seru seru seru,1
perfek,1
butut,0
good,1
baik,1
ok,1
font nya tidak ada yang biasa saja masa tulis bawah tulis padahal cuma malah beban,0
isjsk,1
bagus,1
canva ini begitu bagus sekali tetapi jangan ngeleg lagi dong canva jadi hasil agak jelek sama kata adekku seru sekali kak terima kasih y canva,1
ytta,1
ibarat nya gin wirr kita tidak punya laptop tetapi kita punya canva,1
aplikasi jos,1
canva ini bagus untuk apa dan lengkap lagi,1
aplikasi ini bagus sekali untuk ajar seperti saya,1
bagus,1
lumayan bagus,1
sangat manfaat,1
mantap,1
tidak bisa buka habis login fakk,0
luar biasa,1
the best sudah,1
apakah yang bagus untuk ngedit foto dan buat serifikat dan jenis,1
joooos top sangat,1
luar biasa,1
sangat bantu,1
bagus,1
sangat baguss gampang erti untuk desain mula sepertikuuu rekomend dehh pokok,1
yah,0
sangat bergunaaa,1
error tidak bisa buka,0
tidak bisa bayar yang peremium karena para siswa ke susah untuk bayar tolong di degar min,0
sangat bantu,1
than you,1
keren,1
fagus,1
keren amazing,1
bagus,1
keren,1
hasil bagus mudah aplikasi dan mantap,1
bagus,1
good,1
aplikasi ini loading lamaa sekali padahal jaring saya baik saja saat buka aplikasi lain,0
bagus tarik,1
sangat bantu bagus untuk ajar,1
buat logo sangat bagus,1
mantappp,1
best app to design,1
mantap,1
baik,1
i umur he,0
keren,1
woee anjingg kemblikan dana saya saya tidak pernh langgan atau pakai apakah canva pro ngentott enak saja ngmbil hak oranggg,0
aplikasi ini sangat bagus,1
keren,1
sangat puas canva bantu saya untuk edit tugas,1
jauh ini masih bagusss,1
aplikasi yang sangat manfaat,1
baguss sangat keren canva bisa bantu buat tugas ah perfek pokok,1
bagus,1
baik sekali,1
apliaksi yang bagus sbnar nya tetapi harus bayar sangat tidak rekomendet,0
susah gampang,1
sangat bagus,1
bagus,1
ajib,1
lot,0
bagus,1
kereeeennn,1
sangat bantu,1
canva baik,1
ok sekali aplikasi,1
keren dan simpel panjang yang free ibadah bagi mereka yang sedang ajar terima kasih,1
maaf tidak bisa kasih lebih soalny tidak bisa di dowload,0
bagus untuk buat poster,1
bagua,1
sangat mudah efisien manfaat sekali,1
elemen banyak yang gratis juga lucu lucu saran sih bisa di mode offline,1
bagus,1
saya butuh bantu kait bayar langgan yang gagal harus hubung ke mana tanya,1
mantap,1
cool,1
bagusss bangetttt canva kerenn,1
mantap,1
kece,1
apakah nya sangat jaring,0
is the best,1
sangat bantu untuk kreasi,1
aplikasi baik,1
entah mengapa sejak september ini canva jadi sangat lambat bahkan tidak bisa buka padahal internet sudah sangat kencang mohon segera baik,0
bagus,1
sangat tarik,1
hebat dan mudah di guna,1
benar sudah bagus fitur dan lain lain nya sudah bagus tetapi kenapa kendalamya selalu di jaring ya tanya padahal koneksi bagus ram cukup banyak aplikasi sudah di tutup paksa dan muat ulang tetapi tetap saja seperti itu bahkan aplikasi yang tidak si guna pun sudah hapus tetap saja begitu tolong di benar ya bug nya terima kasih,1
good,1
saya pakai canva selalu tidak bisa makanya saya pakai hp uti saya,0
canva beri mudah bagi kita guna,0
wow desain nya sangat estetik,1
kadang lot malesin,1
keren,1
sangat tarik dan bantu,1
sangat bantu,1
bagus dan kualitas,1
bagus sekali,1
good,1
ok,1
aplikasi the best,1
bagus kenapa selalu suka lot,1
sangat bagus,0
canva sangatembantundalam tugas tugas sayav,1
saya tidak bisa login canva guna akun ajar id padahal semua nya sudah benar,0
niam gante,1
aplikasi yang sangat bantu dalam buat desain edit edit logo dan lain lain tetapi masih ada kurang yaitu bug tolongg baik terima kasih,1
bagus buat ngedit,1
pokok mantap,1
tolong yaaa min saya dari tadi sudah hampir jam tunggu loading buat premium tidak bisa padahal singal saya bagusss tidak macet tolong baik segera saya tunggu respon kalian,0
bagus tetapi sangat sering crash error padahal saya guna yang bayar saya kembali bintang kalau sudah baik,0
good,1
sangat bantu untuk bagai perlu terima kasih canva seru,1
aplikasi sangat bagus untuk editvideo dan foto juga lagu,1
terlalu lama proses save filenya,0
keren,1
oke sekali,1
good job mantul aplikasi ini super super bagus,1
bagus,1
baik sekali,1
mantap,1
sangat puasss,1
mantap,1
good,1
keren,1
aplikasi bagus mudah kerja saya,1
bagus,1
kren sekali moga tetap the best,1
mudah di guna,1
cari ide buat logo jadi mudah,1
alhamdulillah lama ini sangat bantu dan aplikasi nya mudah di aplikasi kan,1
aplikasi ini bagus,1
sangat bguss,1
masokkkk,1
harus,1
baik,1
apa nya bgss,1
keren bang saya suka,1
cukup bagus dan tarik buat edit,1
mantap,1
aplikasi bagus,1
bagus sangat bantu,1
baik bagus guna asyik mantap,1
sangat baik,1
mantap,1
mudah kerja,1
sangat baik,1
ini sangat bagus dan mudah di guna,1
bagus sekali bantu,1
sangat sangat bagus dan manfaat,1
mantap,1
baik,1
baik bagus manfaat,1
sangat bagus,1
aplikasi desain baik bakat desain saya jadi bisa wujud berkat aplikasi ini terima kasih canva,1
aplikasi ini sangat bagus saya sangat suka,1
bagus,1
tolong baik lagi agar aplikasi nya tambah bagus,0
sangat cocok,1
saya kasih bintang dulu yaaa,1
bagus,1
very good,1
cepat sederhana hasil baik,1
oke,1
sangat bagus dan sangat bantu terima kasih canva,1
sangatttt bagus dan bantu,1
kecewa apakah nya sering lot padahal jaring bagus,0
mantap betulll,1
bagus sekali aplikasi canva karena di sini kamu bisa dapat ide apa yang tarik yuk cobain,1
aplikasi yang sangat bantu di semua aspek kerja,1
bagi saya canva itu bagus sekali untuk ajar di indonesia karena kalau tidak ada canva mungkin saya tidak akan buat instagram kelas yang bagus tetapi moga canva lebih cepat kembang dan banyak keluar fitur fitur baru terima kasih canva,1
saya sangat kes dan kenan untuk ajar,1
sangat baik,1
bantu bagt,1
bagus,1
bagusss,1
keren,1
saya tidak paket premuin kenapa saldo dana saya di ambil tanya tanya tidak jelas sekali nih apakah,0
good,1
bagussssd,1
ini cocok buat orang gambar sihh pokok bagus sangat dehhh,1
bagus sekali,1
mantap bantu untuk kembang usaha saya,1
saya senang guna aplikasi ini,1
keren sempurna,1
good,1
sangat bantu,1
bagus,1
good,1
sangat bagus,1
sumpah lot sangat canva sekarang,0
sangat bantu untuk desain mula ok deh,1
bagus,1
sangat mudah dan bagus,1
gaga bet,1
good,1
bagus,1
leg sangat,0
sangat bantu dalam buat konten,1
bagus dan tingkat,1
ok sekali sangat bantu,1
good,1
bagus hanya yang kurang tidak bisa bikin rangkum materi materi,1
good,1
aplikasi yang sangat bantu,1
mantull aplikasi y,1
great seru seru seru seru sangat batu sekali dalam fitur juga variasi lumayan lengkap,1
aplikasi yang sangat bagus,1
inibsangat bagus,1
bagus sekali untuk buat bahan ajar,1
lumayan untuk mula,1
dengan canva saya dapat buat jadwal ajar,0
bagus,1
sangat bagus,1
mntappp,1
terima kasih telah mudah dalam buat media ajar sehingga makin asyik,1
huhuhu,1
bagus,1
bagus,0
good job,1
mantap,1
kenapa saya tidak bisa masuk ke dalam canva padahal sudah masuk lewat email tetapi tetap tidak bisa masuk,0
bagus bisa edit fto video hanya kalau elemen mau yang lebih bagus harus pakai canva pro yaitu harus bayar ya pokok the best tetapi sedikit susah untuk bikin ky poster ajar dagang jadi saya hanya bisa asih bintang saja dulu,1
sangat keren,1
mantap,1
plikasi bikin poster baik,1
sangat bantu,1
aplikasi ini sangat bantu saya dalam desain dan tentu hasil desain pun sangat muas saya kasih bintang the best,1
min kenapa saya sudah jadi ppt kenapa gambar tidak muncul cuma tulis dan background warna saja tanya tanya,1
lot anjir,0
sudah dowload canva berapa kali tetap hasipnya nihil tidak ada yang benar semua baik kalau mau ratting nya bagus masih tetap ah ni yah sudah saya dowload ulang tetapi henti terus apa yang salah sih,0
good,1
saya baru pernah ikut aplikasi ini,1
ngebantu bangetttttt,1
mantap,1
bagus sekali,1
bagus sekali,1
ok,1
puas aplikasi desain baik,1
ok,1
keren,1
mudah sekali kalau mau design sesuatu tetapi lambat sekali anjinggg tidak cocok buat orang yang sabar setip tisu bisa tidak sih di baru lagi biar tidak lot sangat begitu,0
senang,1
bagus sekali dan mudah,1
sangat bantu,1
bagus dan bermanfaatl,1
bagus,1
bagus,0
perdana guna aplikasi ini moga dapat bantu saya dalam kerja saya di sekolah,1
ok baik,1
aplikasi yang sangat bagus,1
bagus tetapi belum erti benar,1
canva nya bagus sekali di simpan gratis pula,1
sangat bantu dalam buat tugas dan kreativitas,1
babi jelek hampir semua vip harus bayar apa lagi lot pada ada sinyal bagus huuu jelek,0
ok,1
keren sekali gan,1
template nya bagus,1
ok,1
bantu sekali sama canva terima kasih canva,1
aplikasi bagus tetapi banyak desain yang pro kalau di donlod susah terus pas mau donlod waktu donlod yang desain video itu susah lama sekali mnguras waktu sekali moga cepat di baik ya agak guna tidak bosan saat mngunduh desain dari canva dan tolonv untuk lebih cepat lagi dalam login ulang atau eaktu siap desain,0
mantap sekali,1
mudah dan praktis untuk buat presentasi,1
aplikasi nya bagus tetapi kenapa harus bayar saya nya tidak ada uang,1
bagus,1
sangat bagus,1
saya kok tidak bisa ganti baju nya mirip tidak ada letak fitur nya,0
lintang,1
mateb,1
sangat bantu,1
aplikasi yang bagus manfaat,1
sangat baikk,1
kenapa saya sudah kali kali download aplikasi canva tetapi tidak bisa masuk terus ya padahal lagi butuh sekali,0
aplikasi nya baguss saya suoa sekali,1
aplikasi ini sangat bantu dalam kerja tugas saya terima kasih canva,1
bagus sekali aplikasi nya,1
bagus,1
oke,1
bagus buat bikin poster,1
bagus,1
kereeen,1
cakap,1
oke juga aplikasi sangat bantu,1
sangat baik untuk tugas sein tugas,1
easy,1
masyaallah baru tahu aplikasi bagus ini dan so mudah sekali,1
sangat bagus,1
bagus,1
jelek,0
nice,1
ok,0
canva sangat bantu terima kasih canva,1
keren,1
aplikasi yang sangat bagus,1
sangat baik bagus dan kereatif,0
menyenangkn,1
pelit,1
aplikasi terkadang lag tetapi ada banyak bagai kreativitas dalam aplikasi jadi turut saya tidak buruk juga,1
manfaat,0
keren aplikasi nya,1
aplikasi yang sangat bagus dan bantu untuk freelance,1
sangat bantu,1
bagus kali,1
sangat bantu,1
good,1
wifi dan kuota lancar tetapi tetap saja lot,0
good,1
mantap men,1
bagus,1
apakah terlalu berat wifi saja tidak ngakat pakenih apakah pada hal buat stream bagus saja tuh jaring turut saya nih apakah jelekk,0
sangat bantu kalau bisa semua gratiss,1
kenapa eror tidak bisa di guna,0
bagus sekali,1
gut,1
sedang usaha untuk jadi baik,1
sering eror saat proses edit,0
maaf ya canva ini bagus saya suka taoi kurang nya dia itu lot sangat dan nguras banyak internet apalagi kalau buat poster pas buru terus lot,1
manfaat terima kasih,1
kerja bagus,1
aplikasi yang sangat kreatif tetapi sayang jaring di tempat saya sangat buruk,1
sangat bagus,1
excited luv,1
good as hell,1
bagusss bgettt,1
bagus cocok buat logo,1
cocok untuk di uninstal,0
ok,1
bagus sekali soal biasa ngebantu saya bikin desain buat kerja informatikaa nilai saya ngedesain pakai canva jadi kerenn,1
good,1
keren,1
ok,1
sangat manfaat,1
pokok ini nih baguss sangat,1
sangat bantu,1
best,1
mantap sangat bantu,1
alhamdulillah sudah dibenerin sama mimin nya terima kasih ya minnn,1
sangat bantu n luar biasa terima kasih,1
good,1
canva so great seru,1
sangat bantu dalam urus saya terima kasih,1
good for all,1
bagus sekali,1
keren,1
canva anjg lot wait animasi nya bikin lama mending tidak usah di taruhin,0
kren appsnya,1
aplikasi nya bagus sekali tetapi tolong di baik lagi yh saya kasih bintang karena fitur nya lumayan lah yah bagus tetapi dengan tolong di baik bug nya ok segitu saja sekian terima kasih,1
keren luar biasaa terima kasih canva baru pertama bikin benar kalau buah ajaib,1
kenapa sih sering sekali lot saat buka elemen dan lain lain nya tolong lah padahal jaring lancar sangat pas di canva kenapa jadi ngelagggg,1
mantap bagus sekali,1
lumayan bantu,1
jos,1
sangat guna,1
sangat bagus,1
sangat manfaat syukron,1
sangat bermamfaat,1
good application i love itu,1
sangat guna,1
lumayan bagus,1
mantap,1
bagus,1
keren,1
sangat puas,1
wow luar biasa sekali bantu umkm untuk promosi good luck canva,1
nice spk,1
sangat bantu untuk yang tidak bisa desain,1
terima kasih,1
sangat bantu,1
makin keren top,1
good,1
sangat bagus,1
ok,1
bagus sekali,1
mantap bangat,1
lucu,1
mantap,1
sangat bagus,1
mantap dan lengkap,1
tarik,1
mantapz,1
manthab,1
good,1
keren,1
sangat keren bantu sekali,1
mudah dan gratis mudah umkm,1
sumpahhhhhh keren bgttt apalagi ada tambah ai gambar itu sumpah terima kasih sangat lohhh ada fitur ai gambarrrrr,1
ok mantap,1
like,1
keren,0
bagus sekali,1
kartu keluarga tolong dong di apdet yang bisa di hapus kartu keluarga saya salah pencet terus itu juga saya jadi yesel dan saya hapus tetap masih ada,0
semua ada sini cocok untuk promosi jual,1
apakah nya sangat manfaat,1
bagus sekali,1
suport,1
bagusss,0
mantap,1
sangat baik,1
kualitas burik,0
aplikasi sangat bantu saya dalam kerja sangat mudah guna dan milik banyak varian template yang tarik,1
canva bagus si benar tetapi loading nya lama padhall sinyal juga kencang tetapi sayang lama sekali kalau mau buka fiturnya begitu jadi males apalagi kalau sudah buat nugas sering sekali ke begitu lama tolong ya di baik lagi,1
bintang yang bicara,1
keren bagus sekali,1
aplikasi sangat bagus,0
aplikasi yang bagus rekomendasi,1
mantap,1
luar biasa,1
ini sangat guna sekali,1
bagis,1
sangat bantu,1
sangat mudah buat edit,1
siapa saja bisa jadi desainer grafis,1
v v,1
mantap,1
bagus nih aplikasi,1
cukupp baik,1
the best,1
good,1
kren,1
mantap,1
sang baguu,1
sangat bantu dalam buat presentasi dan mudah,1
maaf untuk bintang nya ini kenapa saldo saya tarik yaa besar ribu padahal sudah tidak ada langgan lagi,1
goog,1
sangat bantu,1
ok,1
mantap untuk di guna,1
mantap keren,1
baik,1
sudah inspirasi seluru indonesia,1
bagus apakah nyaa,1
sangat bagusss dan bisa untuk selesai tugas dari sekolah apakah nya sangat guna dan manfaat dan cocok buat yang sedan desain gambar pola untuk tugas atau lain,1
bagusssss,1
sangat bagus tetapi saya agar tidak tahu ngeditnya,1
makin lot saja,0
pertama kali coba bagus,1
baik,1
sangat tarik,1
keren aplikasi sangat suka,1
enak saja bisa ngedit bantu orangtua buat lebel keripik bagusss,1
aplikasi canva sangat bagus untuk bantu kerja saya lama ini saya sangat suka aplikasi ini,1
sangat bantu,1
terima kasih viedeo saya jadi lebih tarik tetapi masih bingung karena gambar dalam video potong jadi gambar tidak full,1
keren,1
mantap,1
tidak bisa didonwloat padahal jaring full,0
bagus,1
edit design logo jadi lebih mudah dengan agam fitur yang tarik mudah kerja tentu,1
bguss,1
bagus,0
beberapa waktu tidak saya buka dengan akun ajar id tiba logout sendiri dan tidak bisa login lagi dengan email apa aplikasi force close terus,0
lot,0
terimakaih aplikasi yang sangat bagus,1
bagus,1
kerennn,1
sangat bagus sekali,1
aplikasi sangat bagus,1
bagus bangat saya suka sekali karena saya ajar edit dan lain lain,1
jauh ini paling jos,1
aplikasi sangat bagus,1
bagus mudah guna keren juga,1
baik,1
bagus pokok,1
saya kasi bintang baru mengunakan,1
baik,1
sangat bagus bisa bantu bagi raka yang belum paham ps,1
bngst banyak update fitur nya makin ribet dan juga sangat lot ketika ada di beranda terlalu banyak bug yang menganggu buat jaring tidak stabil ketika sedang di dalam beranda segera baik tolol jangan hanya banyak update terus tetapi nyusahin para user blok,0
bagus,1
aplikasi sangat bagussss,1
kurang bagus ketika ingin login buat akun kali mncb tetap salah padahal cara tlsn email dan password sudah benar semua tetapi tetap tidak bisa buat akun there still plenty of cellphone memory still can t dulu belum nya juga sudah punya sengaja saja di hapus and also orang bilang this application juga banyak sekali iklan walaupun tidak gratis tidak pantas juga seperti itu please fix itu immediately and mudah untuk buat akun nya kasihan yang lain tidak maka hp iphone jadi susah ribet bet,0
tolong di baik lagi saat untuk login ke akun ajar id terkadang situs error,0
bagus sekali,1
bagus,0
cakap,1
melieurkan,0
bagus sekali,1
bagusss,1
keren,1
bagus,1
very good,1
aplikasi bagus,1
aplikasi ini sangat guna dan manfaat utama bagi saya yang rupa orang ajar dapat bantu dalam selesai tugas tugas sekolah upa power point buat poster tidak hanya itu bahkan di aplikasi ini bisa edit video thank you,1
baikla untuk kali ini saya kasih bintang hanya ukur kenapa muncul di bagi bawah sekali ya agak susah klik,1
aplikasi yang sangat meba,1
canva ini sangat bagus dan semua gambar sangat aestetic,1
bagus sekali buat ajar,1
sagat bantu kalau sedang kerja pr,1
masih coba,1
sagat bermanfat,1
top sangat,1
mantap,1
bagus,1
nang sangat padahal tidak premium tetapi uang di dana saya ke potong ribu padahal itu uang akhir,0
baguss tetapi kalau di akun saya tidak bisa buat canva ajar padahalll saya ajar,1
sangat bagus,1
sangat bantu,1
sangat manfaat untuk seluruh ajar dan mahasiswa,1
food,1
saya tidak pernah langgan di apakah ini mungkin teman atau keluarga tanpa tahu saya minta kembali dana syaa mohon,0
sangat bantu dan mudah mantap,1
buagooouusss,1
baik,1
aplikasi keren mnurutq dalam dunia desain praktis sangat buat yang buru buat desain,1
sangat bantu untuk promosi,1
keren habis,1
aplikasi ini sangat bantu kita dalam mudah editing tidak perlu repot repot lagi keren,1
god apakah editor,1
bagus dan canva nya bisa buat tugas,1
bagus,1
sangat bantu kerja jadi ringan,1
sumpah kok tambah lambat ya allah,0
baik,1
mantap,1
keren,1
keren,1
apakah error tidak guna tiap mau masuk muat ulang padahal wifi pakai tidak ganiat bikin apakah,0
keren,1
ini gimana cara masuk nya ko tidak bisa ua,1
terima kasih app nya sangat bagus,1
agak susah yhh bun,1
jos,1
good,1
canva luar biasa great,1
bagus tetapi jangan lelet,1
benar bagus tetapi dia agak lambat,0
binta empat,1
aplikasi nya bagusss,1
awal saya pakai aplikasi ini bagus tetapi telah lama jadi warna putih kalau sudah di baik saya kasih bintang,1
bantu,1
bagus sekali aplikasi sangat bergunaaaa,1
bagus sangat sbnernya tetapi mau pindah ke pro sudah mau bayar via google dana tetap saja error yatuhan,1
mantul,1
keren,1
apakah nya bagus,1
sangat bagus,1
tidak bisa masuk rudeut,0
karena cepat,1
sangat guna,1
sangat bantu apabila ada tugas sekolah dan bantu saya juga dalam edit foto juga banyak templat templat yang tarik,1
kereeeee,1
kenapa buka nya selalu muat ulang terus,0
karena tidak mirip sama microsoft,0
sangat bagus,1
aplikasi bagus sekali suka karena bikin tugas jadi lebih gampang,1
belum pernah coba bercyandaaa bercyanda bagus kok,1
top,1
fiturnya sangat lengkap dan sangat mudah guna yang baru ajar desain,1
bagus,1
sangat muas dari aplikasi canva,1
bagus skli apakah nya,1
perveck,1
sangat bantu,1
a ml,0
recommended seru seru,1
sangat bantu,1
sangat cocok bagi anak muda,1
apknya sih baguss tetapi saya pakai hp ram tetappp lemottttttt apknya jaring bagus padahal sumpahhhh apakah bikin stresss mau ngedit malah emosi,0
matio,1
nice,1
kenapa susah sekali sih masuk pakai akun gmail yang sudah daftar,0
canva aplikasi editor yang keren seru seru tetapi sayang canva lambat merespon saya hanya harap canva baik lagi agar lebih mudah lagi canva memang kerennn seru seru i will love canva,1
aplikasi good,1
okk untuk buat ppt poster,1
baik,1
abdul qodir,1
i can t refund my purchasing seru seru seru seru,0
applikasi bagus sekali tetapi sayang agak lot,1
baik,1
cara simpan file terlalu sulit,0
very good,1
sangat muas,1
untuk ukur khusus custom tulis size cuma tidak bisa di klik posisi terlalu pojok bawah tolong baik,0
aplikasi yang sangat bantu untuk editing foto,1
sippp,1
aplikasi ini sangat keren,1
mantap aplikasi,1
buat ngedit video sih bisa tetapi pas up ke yt tidak bisa putar aneh,0
bagusss,1
bagus sekali,1
mantap,1
aplikasi sangat bagus fitur lengkap dan tidak lalot sangat bantu dalam edit foto dan video,1
tampil makin buruk untuk hp,0
this is so good to use seru seru,1
tidak bisa mendownload,0
good,1
good,1
mending,1
bantu kuliah,1
canva adalah aplikasi yang bagus untuk iklan produk atau karya kita mantap canva,1
bagus,1
thank you,1
bagus,1
puas sangat terima kasih canva,1
lmott padahal wifinya lncar,0
keren,1
sangat bantu dan mudah guna,1
mantap,1
sorry min bintang karena video yang saya capai capai buat dari canva tidak bisa di download,0
ok,1
muas,1
sengaja ya bikin saya marah,0
sangat bantu untuk kerja tugas sekolah,1
bagus mudah,1
good,1
ok,1
suka,1
suka sekali,1
bagus nyaman sangat bantu,1
bagus,1
sangat muas,1
sangat baik,1
